iter	Accuracy	Logloss
0	0.7317484663	0.686097664411	0.772392638	0.6787761794
2	0.7523006135	0.6731664771
3	0.7579754601	0.6653681354
4	0.7650306748	0.6586510799
5	0.7748466258	0.6508995946	6	0.777607362	0.6451462637	7	0.7791411043	0.6383290268	8	0.7785276074	0.6338729359	9	0.7782208589	0.6283752841010	0.7785276074	0.6238359191111	0.7831288344	0.6180967911212	0.7834355828	0.6135890541313	0.786196319	0.6089886314114	0.7863496933	0.6054724715115	0.7872699387	0.6012541316116	0.786809816	0.5962541351717	0.786196319	0.5919215772118	0.786196319	0.5873623102
19	0.7845092025	0.5839780015
20	0.7871165644	0.5799496834
21	0.7901840491	0.5764123243
22	0.7904907975	0.5725793483
23	0.7898773006	0.5688520572
24	0.7891104294	0.5653638436
25	0.7909509202	0.5624716695
26	0.7912576687	0.558611893
27	0.7929447853	0.55566961
28	0.793404908	0.5530581511
29	0.7935582822	0.5501577303
30	0.7926380368	0.5471500067
31	0.7923312883	0.5443627906
32	0.792791411	0.5416830629
33	0.7932515337	0.5393372544
34	0.793404908	0.5370125462
35	0.7941717791	0.534587384
36	0.7937116564	0.5319590646
37	0.7938650307	0.5296815415
38	0.7944785276	0.5273490859
39	0.7947852761	0.5253294915
40	0.7958588957	0.5233340208
41	0.7961656442	0.5208064678
42	0.7969325153	0.5187789575
43	0.7963190184	0.5169871379
44	0.797392638	0.5151710808
45	0.7978527607	0.5127792042
46	0.7983128834	0.5107285531
47	0.7992331288	0.5088507734
48	0.7987730061	0.5068214777
49	0.7975460123	0.5051278316
50	0.7990797546	0.5030527568
51	0.8	0.5012844178
52	0.7975460123	0.4995674123
53	0.7976993865	0.4976265233
54	0.7990797546	0.4956269768
55	0.798006135	0.4939356174
56	0.7993865031	0.4917578151
57	0.7984662577	0.4903717109
58	0.7981595092	0.4889977035
59	0.7967791411	0.4876011658
60	0.7966257669	0.4860105013
61	0.7981595092	0.4842742389
62	0.7961656442	0.4827820712
63	0.7963190184	0.4814754013
64	0.7966257669	0.4803109632
65	0.7963190184	0.4787909414
66	0.7963190184	0.4775721309
67	0.7961656442	0.476644681
68	0.7960122699	0.4758541343
69	0.7966257669	0.4742382351
70	0.7963190184	0.4732826227
71	0.7967791411	0.4719533375
72	0.7967791411	0.4706926645
73	0.7975460123	0.4693224754
74	0.797392638	0.4682412846
75	0.7978527607	0.4666132488
76	0.7981595092	0.4658695977
77	0.7984662577	0.4645952272
78	0.7987730061	0.4638493645
79	0.7990797546	0.462916877
80	0.7984662577	0.4620435447
81	0.7989263804	0.4608068472
82	0.7993865031	0.4600814505
83	0.8004601227	0.4591115711
84	0.8004601227	0.4581783283
85	0.8004601227	0.4570490153
86	0.8004601227	0.4560383182
87	0.8004601227	0.4549345586
88	0.8	0.4543003787
89	0.8004601227	0.453305164
90	0.8010736196	0.452512379
91	0.8009202454	0.4515514673
92	0.8016871166	0.4508801114
93	0.8018404908	0.4500797537
94	0.8029141104	0.4492089082
95	0.8027607362	0.448467171
96	0.8024539877	0.4478397662
97	0.802607362	0.4471598548
98	0.8036809816	0.4464414436
99	0.8032208589	0.4454984079
100	0.8033742331	0.4447366987
101	0.8038343558	0.4437281677
102	0.8039877301	0.4430133994
103	0.8044478528	0.4424623932
104	0.8042944785	0.4415350828
105	0.8047546012	0.440779515
106	0.8050613497	0.440212425
107	0.804601227	0.4398653042
108	0.804601227	0.4391763337
109	0.8052147239	0.4386859832
110	0.8055214724	0.4378120356
111	0.806595092	0.4369691541
112	0.8070552147	0.436313471
113	0.8070552147	0.4357016266
114	0.806595092	0.4351316733
115	0.806595092	0.4343621661
116	0.8078220859	0.4334078592
117	0.8078220859	0.4328925835
118	0.8076687117	0.4323679279
119	0.8075153374	0.431613791
120	0.8078220859	0.43119761
121	0.8084355828	0.4307092853
122	0.8085889571	0.430097283
123	0.8087423313	0.429583362
124	0.8081288344	0.4289887988
125	0.809202454	0.4284553174
126	0.8090490798	0.4278778716
127	0.8090490798	0.4273712528
128	0.8090490798	0.4268633571
129	0.8101226994	0.4261875216
130	0.8105828221	0.425789654
131	0.8105828221	0.4251963645
132	0.8107361963	0.4247376774
133	0.8105828221	0.424266701
134	0.811196319	0.4237902417
135	0.8124233129	0.4232014848
136	0.8128834356	0.4226561312
137	0.8128834356	0.4221332585
138	0.8130368098	0.421513392
139	0.8130368098	0.421096661
140	0.8134969325	0.420639034
141	0.813803681	0.4201865226
142	0.813803681	0.4195946762
143	0.8141104294	0.4190439155
144	0.8141104294	0.4187037494
145	0.8144171779	0.4182876002
146	0.8145705521	0.4178604758
147	0.8142638037	0.4175960615
148	0.8144171779	0.417142879
149	0.8148773006	0.4167082307
150	0.8150306748	0.4163473294
151	0.8153374233	0.4158746209
152	0.8154907975	0.4156080058
153	0.8156441718	0.4153290213
154	0.8151840491	0.4149822578
155	0.8156441718	0.4146125601
156	0.8156441718	0.4142409041
157	0.8153374233	0.4139697838
158	0.8151840491	0.4135339182
159	0.815797546	0.4130770516
160	0.815797546	0.4127072805
161	0.8159509202	0.4123602817
162	0.815797546	0.4119624444
163	0.8154907975	0.4115912017
164	0.8154907975	0.4112820734
165	0.8161042945	0.4109650287
166	0.8161042945	0.4105581749
167	0.8164110429	0.4102576912
168	0.8161042945	0.4099015156
169	0.8161042945	0.4095542556
170	0.8161042945	0.409173688
171	0.8161042945	0.4089038751
172	0.8162576687	0.408536209
173	0.8162576687	0.4082254067
174	0.8164110429	0.4079960685
175	0.8161042945	0.4077353143
176	0.8164110429	0.4073072377
177	0.8165644172	0.4069512978
178	0.8168711656	0.4065595583
179	0.8171779141	0.4061601314
180	0.8165644172	0.4059176514
181	0.8168711656	0.4054599413
182	0.8168711656	0.4052939763
183	0.8167177914	0.4050740506
184	0.8168711656	0.4047985651
185	0.8168711656	0.4044738963
186	0.8167177914	0.4042421639
187	0.8176380368	0.4039007361
188	0.8168711656	0.4035851864
189	0.8167177914	0.4033164532
190	0.8167177914	0.403038963
191	0.8167177914	0.4027771044
192	0.8170245399	0.4024746104
193	0.8171779141	0.4022253923
194	0.8171779141	0.4019027163
195	0.8173312883	0.4017673314
196	0.8173312883	0.4014616934
197	0.8171779141	0.4012095262
198	0.8171779141	0.4009702373
199	0.8176380368	0.4007554077
200	0.8171779141	0.4002793079
201	0.8173312883	0.3999923355
202	0.8176380368	0.3997170566
203	0.817791411	0.3995153723
204	0.817791411	0.3992874546
205	0.8179447853	0.3989797394
206	0.8180981595	0.3987915359
207	0.817791411	0.3985347021
208	0.8182515337	0.3983204429
209	0.8179447853	0.3979702237
210	0.817791411	0.397708425
211	0.817791411	0.3974952766
212	0.8180981595	0.39712328
213	0.8176380368	0.396656259
214	0.8179447853	0.396368113
215	0.818404908	0.3961160342
216	0.8187116564	0.3958558691
217	0.8193251534	0.3956142116
218	0.8188650307	0.3954538367
219	0.8191717791	0.3952769077
220	0.8191717791	0.3950461363
221	0.8191717791	0.3948140386
222	0.8194785276	0.3945392653
223	0.8199386503	0.3942698264
224	0.8199386503	0.3939101647
225	0.8196319018	0.3937221139
226	0.8199386503	0.3935922484
227	0.8199386503	0.3933019088
228	0.8199386503	0.3931039938
229	0.8197852761	0.3927632272
230	0.8199386503	0.3926442033
231	0.8194785276	0.3924169203
232	0.8196319018	0.3922990565
233	0.8196319018	0.3921796486
234	0.8196319018	0.3918515619
235	0.8196319018	0.3916872358
236	0.8194785276	0.3914887036
237	0.8194785276	0.3913347663
238	0.8196319018	0.3911215772
239	0.8200920245	0.3908572219
240	0.8197852761	0.3906877797
241	0.8196319018	0.3905094873
242	0.8196319018	0.3902980704
243	0.8193251534	0.3901840786
244	0.8193251534	0.3899837936
245	0.8191717791	0.3896706146
246	0.8194785276	0.3894193907
247	0.8194785276	0.3892334433
248	0.8196319018	0.3890236021
249	0.8197852761	0.3887067781
250	0.8199386503	0.388342282
251	0.8199386503	0.3882047306
252	0.8197852761	0.3880683852
253	0.8200920245	0.3878564985
254	0.8202453988	0.3877598516
255	0.8205521472	0.3875876997
256	0.8207055215	0.3871734051
257	0.8208588957	0.3869809093
258	0.8210122699	0.3868465184
259	0.8210122699	0.3867076396
260	0.8210122699	0.3865689292
261	0.8211656442	0.3864014752
262	0.8214723926	0.3861726623
263	0.8214723926	0.3859338633
264	0.8214723926	0.385696893
265	0.8216257669	0.3855418945
266	0.822392638	0.3853869771
267	0.8225460123	0.3852401042
268	0.822392638	0.3850402894
269	0.822392638	0.3848936766
270	0.8222392638	0.384668379
271	0.8222392638	0.3845517165
272	0.822392638	0.3843930702
273	0.822392638	0.3841911744
274	0.8222392638	0.3837598806
275	0.8225460123	0.3834611957
276	0.8228527607	0.3832292315
277	0.8231595092	0.383054497
278	0.8233128834	0.3828714883
279	0.8231595092	0.3826923861
280	0.8233128834	0.3825464671
281	0.8233128834	0.3823187793
282	0.8231595092	0.3821741508
283	0.8240797546	0.3820152102
284	0.8242331288	0.3819022592
285	0.8239263804	0.3816509049
286	0.8237730061	0.3814200694
287	0.8239263804	0.381160748
288	0.8240797546	0.3808861664
289	0.8242331288	0.3806587618
290	0.8243865031	0.3804942332
291	0.8239263804	0.3803915263
292	0.8242331288	0.3802612818
293	0.8242331288	0.3801476936
294	0.8242331288	0.3800401126
295	0.8243865031	0.3799048868
296	0.8243865031	0.3797232525
297	0.8246932515	0.3796235346
298	0.8251533742	0.3792603523
299	0.8253067485	0.3790333252
300	0.8254601227	0.378847815
301	0.8259202454	0.3786170478
302	0.8259202454	0.3784196039
303	0.8257668712	0.3782894426
304	0.8259202454	0.3782174271
305	0.8257668712	0.3781016276
306	0.8254601227	0.3779697458
307	0.8257668712	0.3777737068
308	0.8257668712	0.3775596786
309	0.8260736196	0.377390631
310	0.8259202454	0.3772542213
311	0.8259202454	0.3771446095
312	0.8256134969	0.3770491257
313	0.8257668712	0.3769555502
314	0.8257668712	0.3768524485
315	0.8253067485	0.3767142911
316	0.8257668712	0.376446299
317	0.8260736196	0.3763166907
318	0.8259202454	0.3762067263
319	0.8260736196	0.3761252709
320	0.8260736196	0.375880733
321	0.8265337423	0.3756971343
322	0.8268404908	0.3755069611
323	0.8266871166	0.3753916776
324	0.8266871166	0.3752998346
325	0.8262269939	0.3751447928
326	0.8262269939	0.3750163923
327	0.8265337423	0.3747889992
328	0.8263803681	0.3746984588
329	0.8265337423	0.3745870653
330	0.8268404908	0.3744409724
331	0.826993865	0.3741838106
332	0.8268404908	0.3740197887
333	0.8273006135	0.3738963107
334	0.8268404908	0.3737303637
335	0.8266871166	0.3736332045
336	0.8266871166	0.3734843704
337	0.8266871166	0.3733432216
338	0.8273006135	0.3731948572
339	0.8268404908	0.3730395314
340	0.826993865	0.3729314064
341	0.8273006135	0.3728510116
342	0.826993865	0.3726889596
343	0.8274539877	0.3725557566
344	0.827607362	0.3724455954
345	0.8279141104	0.3722773498
346	0.8280674847	0.372140452
347	0.827607362	0.3719920833
348	0.8280674847	0.3718393473
349	0.8279141104	0.3717088207
350	0.8279141104	0.3715801349
351	0.8279141104	0.3714096365
352	0.8277607362	0.3712946305
353	0.8277607362	0.371151396
354	0.8280674847	0.3709897704
355	0.8280674847	0.3709275934
356	0.8280674847	0.3708192448
357	0.8279141104	0.370720384
358	0.8277607362	0.3706203321
359	0.8279141104	0.3705272799
360	0.8277607362	0.3704462673
361	0.8277607362	0.3702131434
362	0.8280674847	0.3701354006
363	0.8279141104	0.3700094768
364	0.8282208589	0.3698712259
365	0.8280674847	0.3697318807
366	0.8282208589	0.369642218
367	0.8283742331	0.3694473705
368	0.8282208589	0.3692474767
369	0.8288343558	0.3690590425
370	0.8288343558	0.3689716408
371	0.8292944785	0.3687474302
372	0.8292944785	0.3686091651
373	0.829601227	0.3684697538
374	0.8292944785	0.3684033903
375	0.8299079755	0.3682542831
376	0.8299079755	0.3681676425
377	0.829601227	0.3680960396
378	0.829601227	0.3679323334
379	0.8297546012	0.3677676441
380	0.8300613497	0.367536746
381	0.8297546012	0.3673899972
382	0.8297546012	0.3673085378
383	0.8299079755	0.3672025619
384	0.8299079755	0.3671273865
385	0.8300613497	0.3669713405
386	0.8300613497	0.3668913708
387	0.8300613497	0.3668015362
388	0.8300613497	0.3667244236
389	0.8303680982	0.36654456
390	0.8305214724	0.3664081132
391	0.8300613497	0.3662047282
392	0.8302147239	0.3661138587
393	0.8302147239	0.3660580628
394	0.8303680982	0.3659213159
395	0.8305214724	0.3657822949
396	0.8305214724	0.3656689855
397	0.8303680982	0.3655592225
398	0.8303680982	0.3654527376
399	0.8303680982	0.3653474388
400	0.8302147239	0.3651986536
401	0.8305214724	0.365104714
402	0.8308282209	0.3649835475
403	0.8312883436	0.3648510481
404	0.8312883436	0.3646629034
405	0.8312883436	0.3646014782
406	0.8314417178	0.3645312806
407	0.8312883436	0.3644257099
408	0.8314417178	0.3643409095
409	0.8314417178	0.3642447436
410	0.8314417178	0.3639671865
411	0.8317484663	0.3638102239
412	0.8317484663	0.3637247695
413	0.831595092	0.3636603788
414	0.8317484663	0.3635792664
415	0.831595092	0.3634834675
416	0.832208589	0.363385598
417	0.8320552147	0.3631645928
418	0.8320552147	0.3630264617
419	0.8319018405	0.362943007
420	0.8320552147	0.3628387669
421	0.8320552147	0.362681524
422	0.8320552147	0.3625540428
423	0.8319018405	0.3624704646
424	0.8320552147	0.3623853172
425	0.8320552147	0.3622528677
426	0.8320552147	0.3621446309
427	0.8320552147	0.362079175
428	0.8326687117	0.3619679361
429	0.8331288344	0.3618651142
430	0.8332822086	0.3617865191
431	0.8332822086	0.3617017294
432	0.8329754601	0.3615979343
433	0.8328220859	0.3615239144
434	0.8328220859	0.3614346655
435	0.8326687117	0.3613131651
436	0.8329754601	0.361186768
437	0.8331288344	0.3610955804
438	0.8334355828	0.3609724723
439	0.8334355828	0.3609053022
440	0.8332822086	0.3607638518
441	0.8332822086	0.3606479678
442	0.8332822086	0.3605691396
443	0.8335889571	0.3604142458
444	0.8331288344	0.3603314598
445	0.8335889571	0.3601803986
446	0.8334355828	0.3601349567
447	0.8331288344	0.3600417041
448	0.8334355828	0.3599355063
449	0.8335889571	0.359779458
450	0.8338957055	0.3596005322
451	0.8338957055	0.3595358606
452	0.8338957055	0.3593893123
453	0.8338957055	0.3592789209
454	0.8338957055	0.359181542
455	0.8338957055	0.3589892339
456	0.8340490798	0.3588950333
457	0.834202454	0.358797438
458	0.8343558282	0.3586629515
459	0.8343558282	0.3585625179
460	0.8349693252	0.3584660295
461	0.8345092025	0.3583951856
462	0.8348159509	0.3583429808
463	0.8343558282	0.3582849001
464	0.8343558282	0.3582162747
465	0.8349693252	0.3581535371
466	0.8345092025	0.3580262048
467	0.8345092025	0.3579497918
468	0.8348159509	0.3578268825
469	0.8348159509	0.3577234753
470	0.8349693252	0.3576557261
471	0.8349693252	0.3575763442
472	0.8349693252	0.3574858411
473	0.8349693252	0.3574044723
474	0.8351226994	0.3573156377
475	0.8351226994	0.3571719289
476	0.8354294479	0.3571002748
477	0.8352760736	0.356915777
478	0.8355828221	0.3568079773
479	0.8355828221	0.3567503184
480	0.8355828221	0.356679126
481	0.8355828221	0.3566245598
482	0.8354294479	0.3565589919
483	0.8355828221	0.3564080038
484	0.8355828221	0.3563359187
485	0.8355828221	0.3562256932
486	0.8357361963	0.3561068983
487	0.8355828221	0.3560108331
