iter	Passed	Remaining
0	166	249227
1	175	131685
2	181	90777
3	191	71509
4	200	60082
5	209	52104
6	218	46616
7	229	42715
8	237	39378
9	246	36736
10	256	34693
11	265	32871
12	274	31350
13	282	29988
14	293	29017
15	301	28005
16	312	27293
17	321	26436
18	329	25694
19	338	25043
20	346	24420
21	357	24022
22	369	23739
23	378	23299
24	390	23013
25	399	22640
26	408	22264
27	417	21942
28	427	21672
29	437	21453
30	447	21212
31	458	21039
32	467	20794
33	477	20588
34	485	20337
35	493	20087
36	502	19864
37	510	19643
38	520	19496
39	529	19318
40	539	19192
41	548	19033
42	557	18873
43	567	18765
44	575	18623
45	584	18490
46	593	18336
47	602	18220
48	612	18132
49	620	18008
50	629	17897
51	639	17805
52	648	17697
53	657	17604
54	668	17571
55	679	17521
56	697	17658
57	707	17600
58	716	17510
59	726	17425
60	736	17372
61	745	17290
62	755	17223
63	764	17159
64	773	17073
65	781	16989
66	790	16901
67	799	16826
68	807	16756
69	816	16685
70	825	16612
71	833	16534
72	842	16466
73	851	16399
74	860	16349
75	869	16300
76	879	16253
77	887	16186
78	897	16147
79	906	16083
80	916	16055
81	926	16016
82	934	15956
83	944	15928
84	953	15878
85	962	15832
86	973	15808
87	981	15755
88	991	15715
89	1000	15669
90	1009	15622
91	1018	15592
92	1027	15544
93	1036	15508
94	1045	15461
95	1053	15411
96	1062	15374
97	1071	15328
98	1080	15291
99	1090	15269
100	1099	15223
101	1108	15187
102	1116	15148
103	1125	15114
104	1135	15079
105	1143	15036
106	1152	15006
107	1161	14964
108	1170	14943
109	1179	14905
110	1188	14869
111	1196	14834
112	1206	14808
113	1214	14770
114	1223	14732
115	1232	14700
116	1240	14669
117	1249	14638
118	1258	14603
119	1267	14577
120	1277	14556
121	1285	14520
122	1293	14486
123	1302	14453
124	1311	14426
125	1319	14389
126	1328	14362
127	1337	14332
128	1346	14307
129	1354	14278
130	1363	14246
131	1373	14230
132	1381	14203
133	1391	14189
134	1401	14169
135	1410	14149
136	1419	14126
137	1431	14127
138	1441	14117
139	1451	14103
140	1461	14084
141	1471	14070
142	1480	14046
143	1488	14016
144	1497	13996
145	1506	13968
146	1516	13953
147	1525	13933
148	1535	13918
149	1546	13914
150	1557	13913
151	1567	13897
152	1577	13885
153	1586	13870
154	1596	13852
155	1607	13846
156	1617	13838
157	1627	13825
158	1637	13809
159	1646	13787
160	1655	13771
161	1666	13767
162	1676	13749
163	1686	13742
164	1697	13731
165	1706	13717
166	1717	13706
167	1726	13691
168	1736	13672
169	1747	13668
170	1756	13653
171	1767	13643
172	1776	13627
173	1785	13610
174	1799	13626
175	1810	13618
